id_employe,nom,prenom,poste,id_departement,date_embauche,date_depart,salaire,anciennete,cohorte
38,Nom_38,Prenom_38,Analyste,6,2019-07-09,NULL,1038.000,6,2019-07
52,Nom_52,Prenom_52,Developpeur,6,2019-06-16,NULL,2588.000,6,2019-06
56,Nom_56,Prenom_56,Finance,6,2019-11-12,NULL,4693.000,6,2019-11
57,Nom_57,Prenom_57,Manager,4,2019-01-14,NULL,1896.000,7,2019-01
58,Nom_58,Prenom_58,RH,9,2019-08-30,NULL,3479.000,6,2019-08
64,Nom_64,Prenom_64,Finance,9,2019-04-02,NULL,3346.000,6,2019-04
71,Nom_71,Prenom_71,RH,3,2019-02-04,NULL,4808.000,7,2019-02
72,Nom_72,Prenom_72,Finance,6,2019-07-25,NULL,4564.000,6,2019-07
84,Nom_84,Prenom_84,Manager,8,2020-02-06,NULL,3563.000,6,2020-02
87,Nom_87,Prenom_87,Manager,5,2019-06-11,NULL,4206.000,6,2019-06
88,Nom_88,Prenom_88,Analyste,5,2019-07-21,NULL,1531.000,6,2019-07
90,Nom_90,Prenom_90,Developpeur,7,2019-09-27,NULL,3920.000,6,2019-09
99,Nom_99,Prenom_99,Finance,3,2019-10-23,NULL,802.000,6,2019-10
103,Nom_103,Prenom_103,Developpeur,6,2019-12-04,NULL,3690.000,6,2019-12
107,Nom_107,Prenom_107,Analyste,8,2019-08-05,NULL,1697.000,6,2019-08
109,Nom_109,Prenom_109,Analyste,5,2019-07-07,NULL,2079.000,6,2019-07
110,Nom_110,Prenom_110,Finance,4,2020-01-15,NULL,1470.000,6,2020-01
114,Nom_114,Prenom_114,Finance,9,2019-01-15,NULL,1049.000,7,2019-01
125,Nom_125,Prenom_125,Developpeur,5,2020-01-27,NULL,4412.000,6,2020-01
127,Nom_127,Prenom_127,Analyste,3,2020-02-23,NULL,3963.000,6,2020-02
128,Nom_128,Prenom_128,Developpeur,1,2019-10-16,NULL,2088.000,6,2019-10
129,Nom_129,Prenom_129,Finance,4,2020-01-14,NULL,3742.000,6,2020-01
132,Nom_132,Prenom_132,Developpeur,2,2019-08-19,NULL,3772.000,6,2019-08
134,Nom_134,Prenom_134,Manager,5,2019-02-10,NULL,3248.000,7,2019-02
143,Nom_143,Prenom_143,Manager,2,2020-02-11,NULL,2293.000,6,2020-02
147,Nom_147,Prenom_147,Manager,2,2019-04-09,NULL,4316.000,6,2019-04
161,Nom_161,Prenom_161,Finance,2,2020-02-02,NULL,4601.000,6,2020-02
164,Nom_164,Prenom_164,Analyste,7,2020-01-28,NULL,1170.000,6,2020-01
165,Nom_165,Prenom_165,Developpeur,6,2019-07-26,NULL,1657.000,6,2019-07
177,Nom_177,Prenom_177,Manager,6,2019-04-06,NULL,1774.000,6,2019-04
181,Nom_181,Prenom_181,RH,8,2019-08-19,NULL,3734.000,6,2019-08
211,Nom_211,Prenom_211,Developpeur,3,2019-07-09,NULL,1914.000,6,2019-07
226,Nom_226,Prenom_226,Manager,10,2019-11-14,NULL,1719.000,6,2019-11
252,Nom_252,Prenom_252,Developpeur,4,2019-04-23,NULL,1837.000,6,2019-04
253,Nom_253,Prenom_253,Manager,8,2019-01-02,NULL,4778.000,7,2019-01
255,Nom_255,Prenom_255,Finance,9,2019-08-08,NULL,4026.000,6,2019-08
